국가명,기후대,연도,차종 구분,차량 구분,GDP,총수출량,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
중남미,열대,2021,상업용차,상업용차,20.0,9754,834,824,933,935,1191,1176,500,909,520,872,738,322
중남미,열대,2023,SUV,SUV,20.0,8096,421,374,115,1062,452,115,275,291,1293,1371,1029,1298
중남미,열대,2020,전기차,전기차,20.0,10729,953,1324,1425,480,396,416,793,1085,1354,736,773,994
중동·아프리카,건조,2020,소형차,소형차,20.0,9377,809,1010,885,927,935,1469,617,907,622,877,256,63
중동·아프리카,건조,2020,상업용차,상업용차,20.0,8456,210,979,1489,349,1194,301,359,973,898,695,879,130
중동·아프리카,건조,2024,SUV,SUV,20.0,9455,1411,51,1330,520,409,1488,544,988,411,1230,754,319
중동·아프리카,건조,2022,전기차,전기차,20.0,8422,672,1380,440,182,495,951,458,1439,936,1165,175,129
동유럽,한랭,2022,소형차,소형차,25.0,8919,543,1384,751,615,619,93,868,1045,725,932,1167,177
동유럽,한랭,2024,상업용차,상업용차,25.0,7075,830,730,337,539,176,1469,691,814,184,602,573,130
동유럽,한랭,2022,SUV,SUV,25.0,13361,999,1114,669,1020,1294,427,1385,1390,973,1279,1409,1402
동유럽,한랭,2023,전기차,전기차,25.0,9160,834,1157,965,1357,524,383,151,654,693,528,429,1485
북미-멕시코,건조,2022,소형차,소형차,20.0,7128,208,301,941,819,328,889,323,801,1160,755,344,259
북미-멕시코,건조,2020,상업용차,상업용차,20.0,9139,1180,224,493,310,981,627,373,877,1116,996,553,1409
북미-멕시코,건조,2020,SUV,SUV,20.0,8348,1472,306,830,300,1394,854,238,396,1069,123,1225,141
북미-멕시코,건조,2020,전기차,전기차,20.0,8631,1328,1495,206,209,694,247,1431,198,80,930,736,1077
북미-미국,온대,2023,소형차,소형차,20.0,9125,1251,220,850,1299,60,1471,1215,72,601,219,979,888
북미-미국,온대,2021,상업용차,상업용차,20.0,8267,832,388,1348,902,914,1326,228,279,480,280,613,677
북미-미국,온대,2020,SUV,SUV,20.0,8585,1036,191,90,351,757,127,1289,861,859,810,1249,965
북미-미국,온대,2020,전기차,전기차,20.0,9945,338,908,1091,1143,482,678,1288,1074,389,861,453,1240
북미-캐나다,한랭,2020,소형차,소형차,20.0,8752,325,216,1111,294,173,1499,1462,1332,727,497,297,819
북미-캐나다,한랭,2020,상업용차,상업용차,20.0,8298,1354,864,707,628,64,1142,429,636,1055,372,407,640
북미-캐나다,한랭,2021,SUV,SUV,20.0,9243,698,1008,557,837,433,702,1129,230,1446,1241,327,635
북미-캐나다,한랭,2024,전기차,전기차,20.0,7582,459,417,154,201,1179,555,1303,501,315,1192,1235,71
서유럽,온대,2020,소형차,소형차,45.0,8022,429,50,372,828,613,733,83,198,1262,1478,1011,965
서유럽,온대,2022,상업용차,상업용차,45.0,9085,164,103,762,303,1264,1106,495,1146,708,1140,634,1260
서유럽,온대,2021,SUV,SUV,45.0,7277,50,656,653,273,604,1373,554,339,892,167,1097,619
서유럽,온대,2023,전기차,전기차,45.0,8353,683,634,1368,1361,508,129,1204,696,422,545,445,358
아시아,온대,2023,소형차,소형차,20.0,9974,937,173,1498,764,1496,281,963,619,492,1133,821,797
아시아,온대,2022,상업용차,상업용차,20.0,6023,765,1270,134,1049,51,955,233,653,518,125,146,124
아시아,온대,2022,SUV,SUV,20.0,7436,350,619,602,510,539,392,1002,610,373,1140,1131,168
아시아,온대,2024,전기차,전기차,20.0,8909,536,742,300,362,650,1393,115,1498,701,616,1059,937
중남미,열대,2021,소형차,소형차,20.0,10435,111,449,1020,553,978,1218,1427,1321,709,990,878,781
중남미,열대,2022,상업용차,상업용차,20.0,11446,1183,1296,1364,720,1408,1254,794,259,236,909,1122,901
중남미,열대,2020,SUV,SUV,20.0,7803,507,600,339,652,1488,465,300,217,1428,234,891,682
중남미,열대,2023,전기차,전기차,20.0,11610,1026,540,329,1234,1099,1096,1169,1109,1352,638,812,1206
중동·아프리카,건조,2024,소형차,소형차,20.0,10496,710,884,69,1151,580,1330,1327,1177,868,1024,746,630
중동·아프리카,건조,2023,상업용차,상업용차,20.0,9270,709,1030,1213,216,1025,1331,332,619,1423,55,719,598
중동·아프리카,건조,2022,SUV,SUV,20.0,11611,1487,362,1332,375,1029,953,721,1010,1197,1115,830,1200
중동·아프리카,건조,2022,전기차,전기차,20.0,7759,620,237,1365,1431,231,914,411,1043,212,148,182,965
동유럽,한랭,2022,소형차,소형차,25.0,9769,810,361,251,1228,297,1428,1227,1008,1251,407,829,672
동유럽,한랭,2022,상업용차,상업용차,25.0,12392,463,874,1261,919,1476,1485,834,591,1206,1204,1095,984
동유럽,한랭,2023,SUV,SUV,25.0,8319,471,1405,134,319,637,1075,642,718,1131,875,329,583
동유럽,한랭,2020,전기차,전기차,25.0,9374,1295,513,50,1452,655,615,1229,1444,756,62,1076,227
북미-멕시코,건조,2021,소형차,소형차,20.0,10382,374,1084,550,1297,1292,494,971,1215,220,406,1452,1027
북미-멕시코,건조,2020,상업용차,상업용차,20.0,10486,566,1480,57,1368,874,397,890,750,922,1447,1351,384
북미-멕시코,건조,2023,SUV,SUV,20.0,9934,1053,1146,52,450,1406,732,944,785,583,646,862,1275
북미-멕시코,건조,2020,전기차,전기차,20.0,8195,1204,975,1212,1271,513,111,874,281,403,157,184,1010
북미-미국,온대,2021,소형차,소형차,20.0,9599,789,1188,96,565,1091,1226,1462,438,482,503,1284,475
북미-미국,온대,2023,상업용차,상업용차,20.0,8782,961,510,1388,1056,979,1458,592,653,299,170,320,396
북미-미국,온대,2021,SUV,SUV,20.0,8619,317,89,631,162,1413,879,617,1261,370,400,1098,1382
북미-미국,온대,2020,전기차,전기차,20.0,10048,1400,492,641,1057,443,821,630,960,1209,1271,248,876
북미-캐나다,한랭,2023,소형차,소형차,20.0,10442,380,983,469,131,1486,1031,1360,875,730,767,1335,895
북미-캐나다,한랭,2021,상업용차,상업용차,20.0,6699,966,799,58,65,454,539,596,564,1278,413,362,605
북미-캐나다,한랭,2023,SUV,SUV,20.0,6920,669,274,354,63,1033,269,662,476,1466,819,632,203
북미-캐나다,한랭,2024,전기차,전기차,20.0,9451,357,672,826,564,1496,439,626,490,1492,193,1237,1059
서유럽,온대,2022,소형차,소형차,45.0,9972,376,999,998,413,199,1286,1026,98,1062,881,1455,1179
서유럽,온대,2020,상업용차,상업용차,45.0,10097,266,467,620,1094,1059,1219,1276,865,1153,1173,241,664
서유럽,온대,2022,SUV,SUV,45.0,10836,728,161,850,655,1187,1379,1306,1040,415,1197,803,1115
서유럽,온대,2022,전기차,전기차,45.0,9328,187,323,458,1254,1432,678,698,873,1389,508,658,870
아시아,온대,2020,소형차,소형차,20.0,10156,979,114,1231,459,1410,1002,1100,1027,1473,105,777,479
아시아,온대,2023,상업용차,상업용차,20.0,10672,701,1122,1367,1144,134,1005,1219,878,1049,1281,412,360
아시아,온대,2020,SUV,SUV,20.0,9331,1451,540,106,325,1398,414,1214,187,1409,1497,633,157
아시아,온대,2023,전기차,전기차,20.0,8099,455,1225,417,303,901,234,804,731,1120,706,893,310
중남미,열대,2023,소형차,소형차,20.0,10539,1400,1223,765,239,874,1005,435,960,1004,594,788,1252
중남미,열대,2022,상업용차,상업용차,20.0,9488,400,1036,603,1098,1359,382,990,124,1420,345,877,854
중남미,열대,2020,SUV,SUV,20.0,7950,603,741,174,1002,189,538,1119,731,1042,488,460,863
중남미,열대,2020,전기차,전기차,20.0,7621,119,1096,708,330,425,1476,330,296,730,1087,466,558
중동·아프리카,건조,2021,소형차,소형차,20.0,9017,770,651,1206,676,1129,1383,335,464,449,587,1072,295
중동·아프리카,건조,2021,상업용차,상업용차,20.0,11878,898,1395,1005,1193,654,1469,584,1427,1051,731,401,1070
중동·아프리카,건조,2022,SUV,SUV,20.0,8340,265,740,1216,420,1406,226,371,728,399,73,1271,1225
중동·아프리카,건조,2024,전기차,전기차,20.0,9853,1364,793,1317,62,1184,1467,455,651,507,1053,522,478
동유럽,한랭,2023,소형차,소형차,25.0,4999,525,410,827,621,806,358,208,66,178,572,92,336
동유럽,한랭,2023,상업용차,상업용차,25.0,7623,950,429,236,165,232,86,301,1302,1160,247,1285,1230
동유럽,한랭,2024,SUV,SUV,25.0,8465,331,380,425,646,1315,374,489,531,548,1482,1005,939
동유럽,한랭,2023,전기차,전기차,25.0,11372,1172,1198,324,1173,89,1444,776,1453,665,1361,1120,597
북미-멕시코,건조,2022,소형차,소형차,20.0,8756,774,116,1147,755,337,549,1379,717,1289,1303,170,220
북미-멕시코,건조,2020,상업용차,상업용차,20.0,9680,557,776,1245,128,1466,1170,1358,724,74,520,916,746
북미-멕시코,건조,2023,SUV,SUV,20.0,10520,105,573,1268,1383,268,976,1445,1390,1205,179,1028,700
북미-멕시코,건조,2022,전기차,전기차,20.0,8607,265,851,1140,1109,216,214,55,1423,1065,308,1240,721
북미-미국,온대,2024,소형차,소형차,20.0,9874,1187,188,770,1212,392,1042,683,454,482,1381,1291,792
북미-미국,온대,2022,상업용차,상업용차,20.0,10705,1420,735,1166,949,171,1176,1170,830,703,800,959,626
북미-미국,온대,2021,SUV,SUV,20.0,9032,1345,1242,939,961,206,63,903,193,879,948,845,508
북미-미국,온대,2020,전기차,전기차,20.0,10186,453,1416,1428,88,1191,124,818,1257,452,416,1322,1221
북미-캐나다,한랭,2020,소형차,소형차,20.0,8468,718,55,630,539,759,1401,725,568,1036,438,163,1436
북미-캐나다,한랭,2023,상업용차,상업용차,20.0,8592,601,988,408,1431,719,671,588,1266,929,134,655,202
북미-캐나다,한랭,2022,SUV,SUV,20.0,10009,976,617,1059,1277,97,171,866,1258,1317,809,345,1217
북미-캐나다,한랭,2022,전기차,전기차,20.0,9891,1491,1353,653,239,597,1070,1394,530,475,1323,251,515
서유럽,온대,2020,소형차,소형차,45.0,8759,911,900,869,1204,51,938,411,338,996,893,966,282
서유럽,온대,2020,상업용차,상업용차,45.0,13267,1498,1207,1403,737,1326,1153,899,1230,1113,1202,720,779
서유럽,온대,2023,SUV,SUV,45.0,9585,1399,844,1206,869,1173,904,247,225,1131,85,181,1321
서유럽,온대,2024,전기차,전기차,45.0,10006,511,1184,736,1353,1076,703,1248,664,856,247,1298,130
아시아,온대,2024,소형차,소형차,20.0,7585,981,655,759,942,947,716,318,412,468,191,457,739
아시아,온대,2022,상업용차,상업용차,20.0,9427,1464,330,351,1123,126,1472,513,528,705,1223,1281,311
아시아,온대,2020,SUV,SUV,20.0,9033,803,327,876,95,1194,1143,939,60,877,638,1029,1052
아시아,온대,2024,전기차,전기차,20.0,9699,807,884,968,1090,928,991,209,852,931,273,1170,596
중남미,열대,2024,소형차,소형차,20.0,6877,306,246,288,1488,806,1248,172,228,364,68,1354,309
중남미,열대,2022,상업용차,상업용차,20.0,9440,1349,987,434,69,703,1139,888,603,1215,354,1028,671
중남미,열대,2020,SUV,SUV,20.0,11060,167,1179,459,1173,1424,803,991,1116,765,1044,843,1096
중남미,열대,2024,전기차,전기차,20.0,10993,97,812,230,1387,726,754,699,1013,1409,1307,1182,1377
중동·아프리카,건조,2020,소형차,소형차,20.0,6476,672,570,738,441,169,556,237,264,1459,1179,140,51
중동·아프리카,건조,2022,상업용차,상업용차,20.0,7508,342,1011,255,281,1053,224,818,144,670,847,1061,802
중동·아프리카,건조,2021,SUV,SUV,20.0,6754,260,104,1150,369,1037,480,739,296,380,870,120,949
중동·아프리카,건조,2021,전기차,전기차,20.0,7343,174,199,77,219,1073,982,276,820,1023,654,450,1396
동유럽,한랭,2021,소형차,소형차,25.0,8154,372,644,214,847,110,412,1065,596,723,734,1253,1184
동유럽,한랭,2021,상업용차,상업용차,25.0,9820,720,1206,331,1026,1027,724,624,1480,1038,693,881,70
동유럽,한랭,2021,SUV,SUV,25.0,7659,51,1156,701,1332,575,1068,344,62,414,295,277,1384
동유럽,한랭,2022,전기차,전기차,25.0,11303,511,1163,1192,444,380,1343,599,1427,1430,1258,1100,456
북미-멕시코,건조,2021,소형차,소형차,20.0,9212,677,258,959,1315,1027,191,575,808,179,1484,854,885
북미-멕시코,건조,2020,상업용차,상업용차,20.0,10950,1176,459,622,1277,843,835,588,1472,1060,52,1112,1454
북미-멕시코,건조,2020,SUV,SUV,20.0,5877,336,797,1132,279,804,292,400,447,534,88,408,360
북미-멕시코,건조,2022,전기차,전기차,20.0,7654,200,569,880,1428,1001,773,325,367,568,619,337,587
북미-미국,온대,2024,소형차,소형차,20.0,9246,385,301,1300,406,1353,529,1311,1113,451,978,263,856
북미-미국,온대,2021,상업용차,상업용차,20.0,8867,688,504,666,692,1328,1233,526,543,1036,736,733,182
북미-미국,온대,2021,SUV,SUV,20.0,7123,378,192,381,614,828,725,96,744,272,957,1194,742
북미-미국,온대,2024,전기차,전기차,20.0,8129,1428,115,342,148,224,440,1375,382,563,1360,445,1307
북미-캐나다,한랭,2021,소형차,소형차,20.0,8990,1288,960,1168,441,786,629,174,1069,800,1015,294,366
북미-캐나다,한랭,2020,상업용차,상업용차,20.0,7172,684,456,677,712,653,517,199,606,908,92,1382,286
북미-캐나다,한랭,2024,SUV,SUV,20.0,10934,1007,1107,800,649,1207,783,186,711,1444,632,1229,1179
북미-캐나다,한랭,2020,전기차,전기차,20.0,8863,777,678,456,115,766,997,1099,1129,1381,510,98,857
서유럽,온대,2023,소형차,소형차,45.0,8521,167,51,482,426,530,763,1308,1459,599,1279,1243,214
서유럽,온대,2023,상업용차,상업용차,45.0,10028,1475,57,1121,764,183,381,1260,457,1027,1248,838,1217
서유럽,온대,2021,SUV,SUV,45.0,9156,472,543,125,1485,1490,789,980,1163,490,354,412,853
서유럽,온대,2022,전기차,전기차,45.0,10144,923,832,796,144,1257,596,909,1349,1432,528,626,752
아시아,온대,2021,소형차,소형차,20.0,9467,378,1065,863,551,313,1198,1163,747,533,828,949,879
아시아,온대,2024,상업용차,상업용차,20.0,8776,643,636,431,515,141,1347,736,809,1196,1208,267,847
아시아,온대,2021,SUV,SUV,20.0,9448,1340,1353,844,523,783,1079,121,198,1312,456,1149,290
아시아,온대,2020,전기차,전기차,20.0,8805,1355,694,308,112,1279,686,565,603,1028,710,295,1170
중남미,열대,2021,소형차,소형차,20.0,7902,148,330,1384,764,205,65,1468,553,563,765,1485,172
중남미,열대,2022,상업용차,상업용차,20.0,7585,739,952,786,902,494,90,459,104,1138,473,612,836
중남미,열대,2024,SUV,SUV,20.0,12153,1390,1193,573,877,788,1117,1342,549,1242,1008,955,1119
중남미,열대,2024,전기차,전기차,20.0,7754,1493,201,1055,172,748,541,164,662,97,625,1313,683
중동·아프리카,건조,2023,소형차,소형차,20.0,8399,584,1017,1148,102,313,1299,133,926,90,198,1372,1217
중동·아프리카,건조,2024,상업용차,상업용차,20.0,6580,749,1498,630,518,480,558,369,415,132,69,1020,142
중동·아프리카,건조,2023,SUV,SUV,20.0,7058,142,294,633,123,772,930,763,1254,149,346,463,1189
중동·아프리카,건조,2024,전기차,전기차,20.0,9753,309,913,334,1413,1307,1463,1436,886,494,897,168,133
동유럽,한랭,2023,소형차,소형차,25.0,7992,276,698,1040,983,428,230,1062,185,878,743,798,671
동유럽,한랭,2022,상업용차,상업용차,25.0,12503,1212,1080,1489,1228,1398,1373,1323,104,383,1422,89,1402
동유럽,한랭,2023,SUV,SUV,25.0,9659,653,1053,1171,312,781,305,515,1344,1024,1130,1127,244
동유럽,한랭,2024,전기차,전기차,25.0,10937,1445,642,662,769,358,1173,1365,443,766,1495,970,849
북미-멕시코,건조,2023,소형차,소형차,20.0,9582,320,975,909,1287,619,1041,1255,652,540,410,1109,465
북미-멕시코,건조,2022,상업용차,상업용차,20.0,10215,992,541,1333,1498,99,546,1463,969,129,671,1486,488
북미-멕시코,건조,2022,SUV,SUV,20.0,11445,350,1328,720,1325,1291,393,1177,343,1478,1495,126,1419
북미-멕시코,건조,2021,전기차,전기차,20.0,8670,1089,247,1116,415,1447,91,802,414,236,700,904,1209
북미-미국,온대,2021,소형차,소형차,20.0,7396,445,97,204,975,1314,189,167,865,614,792,830,904
북미-미국,온대,2021,상업용차,상업용차,20.0,7319,995,241,1300,833,157,646,876,102,70,994,966,139
북미-미국,온대,2020,SUV,SUV,20.0,9635,672,698,436,1163,1097,713,388,1290,245,798,1073,1062
북미-미국,온대,2024,전기차,전기차,20.0,9115,647,252,1204,234,1401,307,76,1423,1261,1276,279,755
북미-캐나다,한랭,2021,소형차,소형차,20.0,10633,1179,1095,211,862,1461,766,400,727,277,1232,934,1489
북미-캐나다,한랭,2020,상업용차,상업용차,20.0,8305,357,688,367,1282,816,174,259,1075,219,1467,1173,428
북미-캐나다,한랭,2021,SUV,SUV,20.0,9421,1253,98,176,204,780,1418,981,879,945,81,1484,1122
북미-캐나다,한랭,2020,전기차,전기차,20.0,9327,430,596,969,1468,1129,1046,357,1142,134,1030,533,493
서유럽,온대,2024,소형차,소형차,45.0,9503,675,410,770,1081,913,321,111,1400,1412,536,582,1292
서유럽,온대,2020,상업용차,상업용차,45.0,9893,564,838,927,870,1474,221,552,1336,877,324,1224,686
서유럽,온대,2024,SUV,SUV,45.0,10003,857,719,1272,779,1253,311,257,695,607,1265,1353,635
서유럽,온대,2024,전기차,전기차,45.0,10713,1279,525,1449,1066,1091,636,158,500,1040,651,903,1415
아시아,온대,2024,소형차,소형차,20.0,12068,1183,1401,1287,170,310,710,1377,1260,1414,336,1459,1161
아시아,온대,2022,상업용차,상업용차,20.0,8013,204,396,304,256,261,1126,379,858,1129,523,1296,1281
아시아,온대,2021,SUV,SUV,20.0,9024,334,1397,1385,72,771,932,714,348,722,896,172,1281
아시아,온대,2022,전기차,전기차,20.0,9488,1200,207,731,1157,937,134,1322,978,593,395,1214,620
