국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,기후대,차량 구분,분류,총수출량,차종,GDP,대표 차량 구분,차량 구분.1,차종 구분
동유럽,621,1325,666,1860,600,963,1097,1101,1936,683,1888,828,2023,한랭,소형차,일반 차량,13568,HB20,22.0,소형차,소형차,소형차
동유럽,507,687,580,2012,713,1351,962,2054,771,1397,1397,2168,2023,한랭,소형차,일반 차량,14599,Santa-Fe,22.0,소형차,소형차,소형차
동유럽,715,3022,2004,3619,1718,3778,2728,2919,1280,2656,1920,1423,2023,한랭,상업용차,일반 차량,27782,Mighty,22.0,상업용차,상업용차,상업용차
동유럽,2665,2325,1221,3667,3311,1920,3089,1208,2230,3419,3230,4233,2023,한랭,SUV,일반 차량,32518,Palisade,22.0,SUV,SUV,SUV
동유럽,904,1847,715,842,846,973,1743,1596,877,2210,873,1283,2024,한랭,소형차,일반 차량,14709,GV70,22.0,소형차,소형차,소형차
동유럽,1669,422,716,546,1615,1158,2285,1196,1297,1014,464,1874,2024,한랭,소형차,일반 차량,14256,Venue,22.0,소형차,소형차,소형차
동유럽,1420,1037,1870,2317,1839,1128,1152,466,829,1543,1077,2206,2024,한랭,소형차,일반 차량,16884,i20 N,22.0,소형차,소형차,소형차
동유럽,871,642,567,1210,1664,1749,1671,1710,2042,1367,649,1060,2024,한랭,소형차,일반 차량,15202,i10,22.0,소형차,소형차,소형차
동유럽,2062,3110,2226,2072,2683,4107,4271,1276,3837,1539,2786,3526,2024,한랭,SUV,일반 차량,33495,Santa Fe,22.0,SUV,SUV,SUV
동유럽,2259,1908,3104,1452,1280,3972,4337,3171,1864,2036,2101,3874,2024,한랭,SUV,일반 차량,31358,Tucson OB,22.0,SUV,SUV,SUV
동유럽,484,975,1459,1068,1189,1649,1718,1998,774,1472,1822,1082,2024,한랭,소형차,일반 차량,15690,BHMC,22.0,소형차,소형차,소형차
동유럽,1102,1284,685,834,301,616,874,529,1226,558,1451,740,2024,한랭,전기차,일반 차량,10200,IONIQ5,22.0,전기차,전기차,전기차
동유럽,1619,1112,1406,1569,1155,2359,839,1477,666,1551,570,1619,2024,한랭,소형차,일반 차량,15942,Elantra,22.0,소형차,소형차,소형차
동유럽,2428,2390,1441,1849,1391,1612,2836,2595,1119,2497,2959,2946,2024,한랭,SUV,일반 차량,26063,Bayon,22.0,SUV,SUV,SUV
동유럽,722,918,668,2019,1812,843,1279,639,1987,521,1805,1115,2025,한랭,소형차,일반 차량,14328,i20,22.0,소형차,소형차,소형차
동유럽,1633,2148,1633,3213,1974,1351,1432,727,1649,2218,2067,1986,2025,한랭,상업용차,일반 차량,22031,Mighty,22.0,상업용차,상업용차,상업용차
동유럽,548,913,604,1458,561,906,1304,473,1767,673,804,542,2025,한랭,소형차,일반 차량,10553,HTBC,22.0,소형차,소형차,소형차
동유럽,499,1943,826,960,2053,1046,1916,1853,1723,1148,2014,1184,2025,한랭,소형차,일반 차량,17165,PV,22.0,소형차,소형차,소형차
동유럽,1784,1729,2054,3672,3369,4727,4546,1628,1856,1397,1596,2647,2025,한랭,SUV,일반 차량,31005,Tucson,22.0,SUV,SUV,SUV
동유럽,1924,1533,2205,1133,2689,2770,1630,2176,2379,1139,1637,926,2025,한랭,상업용차,일반 차량,22141,Truck,22.0,상업용차,상업용차,상업용차
동유럽,937,950,635,778,1221,466,1105,708,258,539,1006,834,2025,한랭,전기차,일반 차량,9437,Santa-Fe HEV,22.0,전기차,전기차,전기차
동유럽,1330,1347,901,853,390,579,411,809,1406,1080,1282,1159,2025,한랭,전기차,일반 차량,11547,Santa Fe HEV,22.0,전기차,전기차,전기차
북미-멕시코,650,1519,1345,625,1734,527,1987,947,1292,1020,1070,713,2021,건조,소형차,일반 차량,13429,PV,25.0,소형차,소형차,소형차
북미-멕시코,1701,1332,1792,1804,1157,1740,1847,523,1122,935,1118,2605,2021,건조,소형차,일반 차량,17676,GV70,25.0,소형차,소형차,소형차
북미-멕시코,395,483,952,502,901,791,614,858,337,319,1114,824,2021,건조,전기차,일반 차량,8090,Ioniq5,25.0,전기차,전기차,전기차
북미-멕시코,1304,656,1231,501,947,633,1135,2097,645,501,1636,1253,2021,건조,소형차,일반 차량,12539,Stargazer,25.0,소형차,소형차,소형차
북미-멕시코,1837,699,476,994,824,2279,695,1871,533,1058,2075,574,2021,건조,소형차,일반 차량,13915,HB20,25.0,소형차,소형차,소형차
북미-멕시코,1738,1131,755,1529,986,2306,1479,986,723,986,2061,2054,2021,건조,소형차,일반 차량,16734,Exter,25.0,소형차,소형차,소형차
북미-멕시코,1328,2299,3306,3589,2071,3050,3514,1607,2181,1824,2358,2378,2021,건조,SUV,일반 차량,29505,Tucson OB,25.0,SUV,SUV,SUV
북미-멕시코,1384,1539,673,865,1284,817,1909,2153,965,1672,1461,673,2021,건조,소형차,일반 차량,15395,i20 N,25.0,소형차,소형차,소형차
북미-멕시코,2427,1823,3071,1637,2482,2738,4087,1597,3857,2719,3572,3286,2021,건조,SUV,일반 차량,33296,Palisade,25.0,SUV,SUV,SUV
북미-멕시코,1228,590,1317,1460,1427,1427,590,614,1520,1337,793,1746,2021,건조,소형차,일반 차량,14049,Kusto,25.0,소형차,소형차,소형차
북미-멕시코,870,931,1348,1163,852,1680,1369,688,727,1355,981,2104,2021,건조,소형차,일반 차량,14068,CV,25.0,소형차,소형차,소형차
북미-멕시코,626,1409,997,1223,1787,1503,1773,1784,713,1241,593,1547,2022,건조,소형차,일반 차량,15196,Exter,25.0,소형차,소형차,소형차
북미-멕시코,1434,1006,1533,1179,467,1883,1364,318,1214,326,805,318,2022,건조,전기차,일반 차량,11847,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-멕시코,1335,1471,1145,1299,1776,1420,2183,1537,1919,546,1728,2205,2022,건조,소형차,일반 차량,18564,HB20,25.0,소형차,소형차,소형차
북미-멕시코,1718,956,850,515,1426,526,1746,1084,807,1120,1120,1131,2022,건조,소형차,일반 차량,12999,Venue,25.0,소형차,소형차,소형차
북미-멕시코,708,433,1056,1079,761,380,914,1172,1209,417,920,1225,2022,건조,전기차,일반 차량,10274,IONIQ6,25.0,전기차,전기차,전기차
북미-멕시코,2546,2295,1812,3363,3594,2876,4324,3268,2557,3591,3351,1698,2022,건조,SUV,일반 차량,35275,Santa Fe,25.0,SUV,SUV,SUV
북미-멕시코,1363,1443,711,770,1970,739,964,1353,784,1839,1627,596,2022,건조,소형차,일반 차량,14159,HTBC,25.0,소형차,소형차,소형차
북미-멕시코,1752,1674,659,733,1206,968,940,2201,1358,901,839,581,2022,건조,소형차,일반 차량,13812,i10,25.0,소형차,소형차,소형차
북미-멕시코,1082,681,461,2100,1021,889,1301,1282,2039,2126,1581,1150,2023,건조,소형차,일반 차량,15713,PV,25.0,소형차,소형차,소형차
북미-멕시코,1463,460,956,1310,1944,1601,1898,1406,414,1760,527,2005,2023,건조,소형차,일반 차량,15744,HB20,25.0,소형차,소형차,소형차
북미-멕시코,2429,1474,1853,2217,3517,1269,2939,1502,1393,1947,1698,3828,2023,건조,SUV,일반 차량,26066,Palisade,25.0,SUV,SUV,SUV
북미-멕시코,703,726,1089,622,1180,450,1631,1073,269,505,664,1326,2023,건조,전기차,일반 차량,10238,GV70 EV,25.0,전기차,전기차,전기차
북미-멕시코,1552,468,1192,2664,807,1857,939,908,1229,967,2618,1170,2023,건조,상업용차,일반 차량,16371,Truck,25.0,상업용차,상업용차,상업용차
북미-멕시코,1102,1562,940,430,1769,1434,1358,447,1773,1131,786,2095,2023,건조,소형차,일반 차량,14827,i20 N,25.0,소형차,소형차,소형차
북미-멕시코,411,939,1600,2037,1105,1228,1090,2022,1524,1737,2055,1336,2023,건조,소형차,일반 차량,17084,Venue,25.0,소형차,소형차,소형차
북미-멕시코,1451,1651,781,1185,1185,2159,795,1903,1535,1202,1900,1619,2023,건조,소형차,일반 차량,17366,Kusto,25.0,소형차,소형차,소형차
북미-멕시코,1152,1085,1436,1362,1774,2012,1295,1323,509,917,1314,1801,2024,건조,소형차,일반 차량,15980,i20 N,25.0,소형차,소형차,소형차
북미-멕시코,395,706,1154,1363,1297,1929,809,1462,970,1571,588,1786,2024,건조,소형차,일반 차량,14030,CV,25.0,소형차,소형차,소형차
북미-멕시코,769,895,1048,1467,435,1822,1675,1631,728,1849,796,980,2024,건조,소형차,일반 차량,14095,Kusto,25.0,소형차,소형차,소형차
북미-멕시코,1328,794,701,1742,553,1995,1260,562,1279,1408,1557,1276,2024,건조,소형차,일반 차량,14455,i20,25.0,소형차,소형차,소형차
북미-멕시코,1550,881,996,949,644,1716,1253,1328,1115,438,1787,336,2024,건조,전기차,일반 차량,12993,IONIQ6,25.0,전기차,전기차,전기차
북미-멕시코,1309,305,344,1164,1207,1630,572,517,568,1520,254,1548,2024,건조,전기차,일반 차량,10938,IONIQ5,25.0,전기차,전기차,전기차
북미-멕시코,245,1398,585,957,1225,1308,751,762,628,1098,1138,762,2024,건조,전기차,일반 차량,10857,Santa Fe HEV,25.0,전기차,전기차,전기차
북미-멕시코,1502,778,1417,848,309,1382,1208,1278,1463,1030,1301,1595,2024,건조,전기차,일반 차량,14111,GV70 EV,25.0,전기차,전기차,전기차
북미-멕시코,2363,2048,2089,1486,3981,4567,3139,2754,2377,3884,3565,3292,2025,건조,SUV,일반 차량,35545,Bayon,25.0,SUV,SUV,SUV
북미-멕시코,2854,3173,3032,3756,2597,2805,1626,2321,2169,2077,2946,4065,2025,건조,SUV,일반 차량,33421,Tucson OB,25.0,SUV,SUV,SUV
북미-멕시코,1183,825,669,247,1270,1439,1043,529,191,838,1225,1384,2025,건조,전기차,일반 차량,10843,Santa Fe HEV,25.0,전기차,전기차,전기차
북미-멕시코,729,2341,2341,969,2025,699,1012,2375,596,1375,2065,2571,2025,건조,상업용차,일반 차량,19098,Porter,25.0,상업용차,상업용차,상업용차
북미-멕시코,650,1416,428,889,1216,1536,1009,483,715,1576,1405,820,2025,건조,전기차,일반 차량,12143,GV70 EV,25.0,전기차,전기차,전기차
북미-멕시코,969,678,1465,1472,1843,1370,844,1222,1762,617,1441,1266,2025,건조,소형차,일반 차량,14949,Venue,25.0,소형차,소형차,소형차
북미-멕시코,1413,427,1373,1620,590,596,1112,735,1308,1180,1692,651,2025,건조,소형차,일반 차량,12697,CV,25.0,소형차,소형차,소형차
북미-멕시코,755,1155,595,1426,1785,1433,2202,1228,1329,633,1788,1604,2025,건조,소형차,일반 차량,15933,Exter,25.0,소형차,소형차,소형차
북미-멕시코,1908,1258,1107,1760,4270,3658,2473,2004,2148,2196,2369,2303,2025,건조,SUV,일반 차량,27454,Santa Fe,25.0,SUV,SUV,SUV
북미-멕시코,479,1199,582,1468,906,352,995,1489,345,1154,903,815,2025,건조,전기차,일반 차량,10687,IONIQ6,25.0,전기차,전기차,전기차
북미-멕시코,1419,348,1048,762,1623,684,1745,1268,697,1748,1444,442,2025,건조,소형차,일반 차량,13228,i20,25.0,소형차,소형차,소형차
북미-미국,1095,715,941,496,496,860,1353,653,1620,897,401,458,2021,온대,소형차,일반 차량,9985,Stargazer,25.0,소형차,소형차,소형차
북미-미국,1451,1451,1047,1192,1347,1580,892,1577,410,547,507,1477,2021,온대,전기차,일반 차량,13478,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-미국,794,972,992,473,998,1975,1806,548,522,998,762,1715,2021,온대,소형차,일반 차량,12555,HTBC,25.0,소형차,소형차,소형차
북미-미국,196,670,175,353,1053,739,449,869,660,772,657,202,2021,온대,전기차,일반 차량,6795,Ioniq5,25.0,전기차,전기차,전기차
북미-미국,749,708,805,1292,1630,1641,1911,1026,1008,637,786,1761,2021,온대,소형차,일반 차량,13954,CV,25.0,소형차,소형차,소형차
북미-미국,488,1471,1081,1182,863,1678,1914,1400,364,465,964,1231,2021,온대,전기차,일반 차량,13101,GV70 EV,25.0,전기차,전기차,전기차
북미-미국,2138,2446,1686,827,2800,1080,3101,2834,2123,2230,1655,1307,2021,온대,상업용차,일반 차량,24227,Porter,25.0,상업용차,상업용차,상업용차
북미-미국,2372,1858,2119,2285,4461,2368,5204,2444,4370,3500,4575,3626,2021,온대,SUV,일반 차량,39182,Palisade,25.0,SUV,SUV,SUV
북미-미국,197,1053,1216,824,890,1401,504,774,1228,877,366,924,2022,온대,전기차,일반 차량,10254,GV70 EV,25.0,전기차,전기차,전기차
북미-미국,1081,668,892,1283,1542,1913,1292,1756,540,1126,633,1548,2022,온대,소형차,일반 차량,14274,NX4m,25.0,소형차,소형차,소형차
북미-미국,970,474,890,1101,284,893,1802,467,1364,853,499,1328,2022,온대,전기차,일반 차량,10925,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-미국,1988,1279,1136,3135,3427,2324,3549,1876,1591,3509,1859,2005,2022,온대,SUV,일반 차량,27678,Santa Fe,25.0,SUV,SUV,SUV
북미-미국,782,815,728,656,501,2042,1118,2027,1378,1923,1021,2237,2022,온대,소형차,일반 차량,15228,Elantra,25.0,소형차,소형차,소형차
북미-미국,462,1022,425,562,191,861,791,675,1226,322,362,760,2022,온대,전기차,일반 차량,7659,Ioniq5,25.0,전기차,전기차,전기차
북미-미국,359,533,540,1288,555,1996,857,1081,1566,494,1558,665,2022,온대,소형차,일반 차량,11492,Stargazer,25.0,소형차,소형차,소형차
북미-미국,1454,2623,1878,3776,3018,3504,2453,1241,1996,2305,1845,2426,2022,온대,SUV,일반 차량,28519,Bayon,25.0,SUV,SUV,SUV
북미-미국,1283,1283,1312,636,531,1305,1859,543,1458,2160,695,1242,2022,온대,소형차,일반 차량,14307,Kusto,25.0,소형차,소형차,소형차
북미-미국,1635,474,761,941,1256,1926,1874,622,1998,1627,594,2413,2022,온대,소형차,일반 차량,16121,GV70,25.0,소형차,소형차,소형차
북미-미국,1643,1505,841,499,463,2107,1269,1525,919,1348,1816,754,2022,온대,소형차,일반 차량,14689,i20 N,25.0,소형차,소형차,소형차
북미-미국,939,592,539,845,939,1346,2410,2161,713,950,739,1097,2022,온대,소형차,일반 차량,13270,HTBC,25.0,소형차,소형차,소형차
북미-미국,358,1241,1780,802,1666,1893,1241,1736,556,1754,1131,703,2023,온대,소형차,일반 차량,14861,Santa-Fe,25.0,소형차,소형차,소형차
북미-미국,685,1190,460,1136,1142,204,1338,956,1007,1124,1166,1139,2023,온대,전기차,일반 차량,11547,IONIQ5,25.0,전기차,전기차,전기차
북미-미국,2488,1625,1662,631,2753,1514,2653,1692,2596,654,2149,722,2023,온대,상업용차,일반 차량,21139,Mighty,25.0,상업용차,상업용차,상업용차
북미-미국,316,1247,1447,1077,1405,384,399,802,1722,1628,1100,757,2023,온대,전기차,일반 차량,12284,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-미국,489,1405,1213,423,1494,1838,1249,1821,1190,945,1765,519,2023,온대,소형차,일반 차량,14351,NX4m,25.0,소형차,소형차,소형차
북미-미국,1067,1244,365,468,444,1670,1141,928,453,1761,1597,1274,2023,온대,소형차,일반 차량,12412,Elantra,25.0,소형차,소형차,소형차
북미-미국,659,1531,1217,640,957,1292,1999,1537,508,844,1722,1198,2023,온대,소형차,일반 차량,14104,Kusto,25.0,소형차,소형차,소형차
북미-미국,1401,907,669,548,713,1035,753,1130,1412,1796,1848,1434,2023,온대,소형차,일반 차량,13646,i20,25.0,소형차,소형차,소형차
북미-미국,864,192,901,1310,281,385,1344,864,815,1100,363,498,2023,온대,전기차,일반 차량,8917,Santa Fe HEV,25.0,전기차,전기차,전기차
북미-미국,492,918,563,896,544,819,755,1085,835,1238,1558,1430,2024,온대,소형차,일반 차량,11133,GV70,25.0,소형차,소형차,소형차
북미-미국,504,1401,1046,544,1750,2415,2015,1263,969,1543,1056,1928,2024,온대,소형차,일반 차량,16434,Accent,25.0,소형차,소형차,소형차
북미-미국,945,455,1827,1166,1470,1155,1283,633,1660,1271,1306,968,2024,온대,소형차,일반 차량,14139,NX4m,25.0,소형차,소형차,소형차
북미-미국,430,963,374,275,720,1383,571,935,437,1320,1489,907,2024,온대,전기차,일반 차량,9804,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-미국,1300,393,406,1663,1581,1584,1736,1081,1769,1379,1326,1104,2024,온대,소형차,일반 차량,15322,PV,25.0,소형차,소형차,소형차
북미-미국,1061,1377,745,1580,616,1488,720,862,398,1365,1226,1330,2024,온대,소형차,일반 차량,12768,BHMC,25.0,소형차,소형차,소형차
북미-미국,2757,1426,2068,3388,3233,3340,3941,1209,1331,1091,1751,3712,2024,온대,상업용차,일반 차량,29247,Truck,25.0,상업용차,상업용차,상업용차
북미-미국,1601,883,1455,1590,658,1233,658,1966,2154,1583,1338,1616,2024,온대,소형차,일반 차량,16735,Elantra,25.0,소형차,소형차,소형차
북미-미국,785,724,186,315,1606,1803,1455,824,1308,720,1297,1609,2024,온대,전기차,일반 차량,12632,IONIQ6,25.0,전기차,전기차,전기차
북미-미국,1146,1450,407,1646,1893,1582,1146,746,589,557,625,907,2024,온대,소형차,일반 차량,12694,HTBC,25.0,소형차,소형차,소형차
북미-미국,524,705,856,424,1079,825,969,524,866,801,1366,1360,2024,온대,소형차,일반 차량,10299,HB20,25.0,소형차,소형차,소형차
북미-미국,1050,676,727,1648,904,1691,2458,1490,2151,582,1774,590,2025,온대,소형차,일반 차량,15741,PV,25.0,소형차,소형차,소형차
북미-미국,2717,3237,3315,3169,2173,1772,2177,1683,1693,3072,1600,4168,2025,온대,SUV,일반 차량,30776,Tucson OB,25.0,SUV,SUV,SUV
북미-미국,1072,458,1325,484,2104,1824,1251,1985,1936,1392,435,2059,2025,온대,소형차,일반 차량,16325,BHMC,25.0,소형차,소형차,소형차
북미-미국,1445,711,1224,868,1558,1795,438,1230,586,1347,1297,1362,2025,온대,소형차,일반 차량,13861,Stargazer,25.0,소형차,소형차,소형차
북미-미국,1594,512,1031,544,914,746,2165,1675,1817,1115,2128,2084,2025,온대,소형차,일반 차량,16325,i20,25.0,소형차,소형차,소형차
북미-미국,1335,288,541,700,1440,2032,1623,864,1569,930,1538,1183,2025,온대,전기차,일반 차량,14043,GV70 EV,25.0,전기차,전기차,전기차
북미-미국,1635,1274,398,1706,1601,1598,2064,851,1824,1088,1966,1781,2025,온대,소형차,일반 차량,17786,HTBC,25.0,소형차,소형차,소형차
북미-미국,1370,734,518,1072,895,570,2052,419,960,1878,1272,2160,2025,온대,소형차,일반 차량,13900,HB20,25.0,소형차,소형차,소형차
북미-미국,595,347,314,739,657,484,1554,602,756,212,445,733,2025,온대,전기차,일반 차량,7438,Ioniq5,25.0,전기차,전기차,전기차
북미-미국,1439,3100,1213,1432,3590,1609,1571,2614,3049,1957,2740,2492,2025,온대,SUV,일반 차량,26806,Santa Fe,25.0,SUV,SUV,SUV
북미-미국,1193,1335,1264,1331,740,1350,1346,729,407,291,1171,1728,2025,온대,전기차,일반 차량,12885,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-미국,1805,3270,1404,3116,3506,4195,3274,4117,1753,3367,1835,3753,2025,온대,SUV,일반 차량,35395,Tucson,25.0,SUV,SUV,SUV
북미-캐나다,1495,1174,1319,635,793,608,935,832,553,1092,1555,529,2021,한랭,소형차,일반 차량,11520,HB20,25.0,소형차,소형차,소형차
북미-캐나다,354,864,1231,758,736,466,1016,715,1430,777,973,1638,2021,한랭,소형차,일반 차량,10958,i20 N,25.0,소형차,소형차,소형차
북미-캐나다,906,1430,967,1239,1819,1411,1482,1094,1171,750,916,848,2021,한랭,소형차,일반 차량,14033,BHMC,25.0,소형차,소형차,소형차
북미-캐나다,484,1300,1400,1569,688,576,484,411,1604,1550,1053,403,2021,한랭,전기차,일반 차량,11522,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-캐나다,1313,2187,585,2377,2935,880,1944,1220,2859,1341,2651,2232,2021,한랭,상업용차,일반 차량,22524,Truck,25.0,상업용차,상업용차,상업용차
북미-캐나다,1426,1127,616,501,1218,866,841,1448,1112,380,1140,1392,2021,한랭,소형차,일반 차량,12067,i10,25.0,소형차,소형차,소형차
북미-캐나다,1073,621,448,1694,1245,2091,496,2024,1587,1756,1062,1569,2021,한랭,소형차,일반 차량,15666,Exter,25.0,소형차,소형차,소형차
북미-캐나다,473,814,718,1529,1390,1349,1925,1117,432,1270,1938,1594,2021,한랭,소형차,일반 차량,14549,GV70,25.0,소형차,소형차,소형차
북미-캐나다,757,804,1910,2631,2406,1420,1297,2863,3240,2366,3276,3729,2021,한랭,상업용차,일반 차량,26699,Porter,25.0,상업용차,상업용차,상업용차
북미-캐나다,1632,952,586,1882,569,742,1905,1102,1176,896,1249,1245,2022,한랭,소형차,일반 차량,13936,i20,25.0,소형차,소형차,소형차
북미-캐나다,680,733,754,529,1562,874,663,1865,511,1213,1777,504,2022,한랭,소형차,일반 차량,11665,Stargazer,25.0,소형차,소형차,소형차
북미-캐나다,1092,2755,2178,3841,1818,2719,1620,3742,1181,3666,1224,1706,2022,한랭,SUV,일반 차량,27542,Palisade,25.0,SUV,SUV,SUV
북미-캐나다,853,663,494,1283,419,927,1560,1455,1790,562,721,2105,2022,한랭,소형차,일반 차량,12832,HTBC,25.0,소형차,소형차,소형차
북미-캐나다,1283,580,1492,1854,722,837,1482,462,1114,1715,1222,563,2022,한랭,소형차,일반 차량,13326,Venue,25.0,소형차,소형차,소형차
북미-캐나다,1543,1396,837,1709,1147,773,596,747,1773,1951,490,2113,2022,한랭,소형차,일반 차량,15075,PV,25.0,소형차,소형차,소형차
북미-캐나다,1402,901,841,2847,1235,2112,2698,3007,2215,2915,2020,2957,2022,한랭,상업용차,일반 차량,25150,Truck,25.0,상업용차,상업용차,상업용차
북미-캐나다,776,182,1381,973,958,605,444,426,1425,736,1148,510,2022,한랭,전기차,일반 차량,9564,IONIQ5,25.0,전기차,전기차,전기차
북미-캐나다,901,1157,1601,1125,1522,1781,2275,1406,804,1583,2063,2019,2022,한랭,소형차,일반 차량,18237,Exter,25.0,소형차,소형차,소형차
북미-캐나다,2004,3619,3180,1961,1588,3662,4101,1491,3091,2695,2695,2877,2022,한랭,SUV,일반 차량,32964,Tucson OB,25.0,SUV,SUV,SUV
북미-캐나다,271,731,640,637,179,1499,1545,890,423,405,731,338,2022,한랭,전기차,일반 차량,8289,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-캐나다,1531,1439,974,1790,1847,833,1279,1499,1800,414,446,666,2022,한랭,소형차,일반 차량,14518,GV70,25.0,소형차,소형차,소형차
북미-캐나다,1467,513,1193,539,1108,1237,1079,1138,1108,1200,1670,583,2023,한랭,소형차,일반 차량,12835,HTBC,25.0,소형차,소형차,소형차
북미-캐나다,1995,635,790,1168,2742,2912,2646,1162,2639,2758,965,2052,2023,한랭,상업용차,일반 차량,22464,Mighty,25.0,상업용차,상업용차,상업용차
북미-캐나다,353,1394,654,897,908,1537,1044,551,1041,327,1236,1924,2023,한랭,전기차,일반 차량,11866,Santa-Fe HEV,25.0,전기차,전기차,전기차
북미-캐나다,1814,690,1328,2917,3024,1872,2734,637,1088,1807,2956,3257,2023,한랭,상업용차,일반 차량,24124,Truck,25.0,상업용차,상업용차,상업용차
북미-캐나다,1858,1267,1129,2106,1297,1465,1892,797,747,644,1572,904,2023,한랭,소형차,일반 차량,15678,i20 N,25.0,소형차,소형차,소형차
